Date (GMT),Open,High,Low,Last,Volume,Volume,BBandUp,BBandMid,BBandLow
12/27/2020 5:00,26792.49,26839.84,26653.24,26744.76,1488.6585,1488.6585,27039.70062,26440.56449,25841.42837
12/27/2020 5:30,26744.76,26824.56,26705.13,26789.07,761.5484,761.5484,26982.94697,26473.7555,25964.56402
12/27/2020 6:00,26789.06,26939.98,26728.01,26889.02,1868.5977,1868.5977,26958.91569,26513.3045,26067.6933
12/27/2020 6:30,26889.01,27598,26886.47,27496.92,5876.085,5876.085,27095.86146,26606.98216,26118.10286
12/27/2020 7:00,27496.92,27750,27433.8,27632.62,3403.9291,3403.9291,27313.97453,26704.66196,26095.34938
12/27/2020 7:30,27632.63,27689.36,27453.53,27619.9,2395.2515,2395.2515,27496.99941,26791.82748,26086.65556
12/27/2020 8:00,27619.43,27777.82,27588.27,27638.59,2719.7012,2719.7012,27665.87436,26872.47153,26079.0687
12/27/2020 8:30,27638.59,27935.4,27632.13,27770.13,4212.6348,4212.6348,27827.71658,26957.96282,26088.20906
12/27/2020 9:00,27770.14,27910.16,27520,27593.01,3140.4168,3140.4168,27905.3263,27018.4435,26131.5607
12/27/2020 9:30,27603.05,27800,27200.02,27695.16,3732.9927,3732.9927,28004.82486,27082.89269,26160.96052
12/27/2020 10:00,27695.15,27855,27501,27818.2,2854.2854,2854.2854,28101.83457,27152.92196,26204.00934
12/27/2020 10:30,27818.2,27893.5,27687.13,27754.18,1720.2475,1720.2475,28175.56473,27210.18463,26244.80453
12/27/2020 11:00,27754.18,27845.02,27700,27822.17,1580.4963,1580.4963,28259.8053,27268.46895,26277.1326
12/27/2020 11:30,27822.17,28422,27786.63,28268.08,6153.7551,6153.7551,28448.10452,27363.67,26279.23548
12/27/2020 12:00,28268.08,28360,26566,27633.08,5985.2842,5985.2842,28433.69729,27389.3281,26344.9589
12/27/2020 12:30,27632.92,27648.75,26732.33,26937.01,6437.321,6437.321,28368.95882,27346.25018,26323.54155
12/27/2020 13:00,26937,27369.69,26815.21,27204.61,3897.0596,3897.0596,28298.92133,27332.76064,26366.59996
12/27/2020 13:30,27204.08,27370.64,27060,27255.5,2627.506,2627.506,28243.76372,27325.40249,26407.04125
12/27/2020 14:00,27255.49,27597.19,27150,27517.85,3176.7093,3176.7093,28192.12065,27343.73082,26495.34099
12/27/2020 14:30,27518.69,27777,27400,27572.59,3583.9099,3583.9099,28169.89913,27365.52693,26561.15473
12/27/2020 15:00,27572.59,27706.23,27232.45,27336.89,3558.1373,3558.1373,28119.99108,27362.79961,26605.60813
12/27/2020 15:30,27337.05,27480,27000,27137.87,4063.418,4063.418,28081.68664,27341.37774,26601.06883
12/27/2020 16:00,27139.05,27412.48,27131.31,27358.6,1885.8523,1885.8523,28053.24543,27343.01795,26632.79048
12/27/2020 16:30,27357.13,27490,26681.74,26985.79,4030.7388,4030.7388,28070.62228,27308.99624,26547.3702
12/27/2020 17:00,26984.35,27222.28,26600,27087.26,4668.1684,4668.1684,28064.45315,27287.87851,26511.30386
12/27/2020 17:30,27087.25,27089.55,26811.29,26889.52,2593.0627,2593.0627,28069.64161,27249.9396,26430.23759
12/27/2020 18:00,26889.17,27028.82,26677,26796.83,2705.7022,2705.7022,28072.53105,27206.78631,26341.04156
